name,address,lat,lon,coordinate_source,outdoor_seating,outdoor_seating_source,category,osm_type,osm_id,osm_name,osm_address,osm_outdoor_seating_raw,google_place_id,google_name,google_address,google_outdoor_seating,google_price_level,google_price_range,google_rating,google_user_rating_count,google_maps_uri,google_match_distance_m,google_match_name_similarity
No 95 En Kaffebar,"Amagerbrogade 95, 2300 København",55.6589067,12.6056535,osm,yes,google,cafe,node,9067467712,Kofoed Kaffe,,,ChIJcRzURExTUkYR3fJpeMKfEeI,No 95 En Kaffebar,"Amagerbrogade 95, 2300 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""1""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}}",4.8,136,https://maps.google.com/?cid=16289976984768475869&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,78.9,0.552
No deux,"Gyldenløvesgade 4, 1369 København",55.6802691,12.5632132,osm,yes,google,cafe,node,13021012865,No deux bistro,,,ChIJDaIRuIxTUkYRCzrx620c1k4,No deux,"Gyldenløvesgade 4, 1369 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""300""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""800""}}",4.7,178,https://maps.google.com/?cid=5680759238409927179&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,8.6,0.667
No.2,"Nicolai Eigtveds Gade 32, 1402 København",55.6724145,12.5845011,osm,yes,osm+google,restaurant,node,3734943923,No. 2,,yes,ChIJg_vhKz5TUkYR7GN5bOpKpHI,No.2,"Nicolai Eigtveds Gade 32, 1402 København",True,PRICE_LEVEL_EXPENSIVE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""500""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""1000""}}",4.5,624,https://maps.google.com/?cid=8260809987207029740&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,17.8,1.0
Nonna Cafe,"Kompagnistræde 10, 1208 København",55.6775089,12.5760598,osm,yes,osm+google,cafe,node,12838271386,Nonna cafe,,yes,ChIJ4Zmoj-FTUkYRfABRf7wYpXo,Nonna Cafe,"Kompagnistræde 10, 1208 København",True,,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""1""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}}",5,209,https://maps.google.com/?cid=8837497041653399676&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,2.8,1.0
Nonna Cafe,"Kompagnistræde 10, 1208 København",55.6777283,12.5765653,osm,yes,osm+google,cafe,node,279472070,Wanna B,,yes,ChIJ4Zmoj-FTUkYRfABRf7wYpXo,Nonna Cafe,"Kompagnistræde 10, 1208 København",True,,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""1""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}}",5,209,https://maps.google.com/?cid=8837497041653399676&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,39.4,0.471
Nordhavn Coffee Room,"Sølvgades Kaserne, Georg Brandes Pl. 2, 1307 København",55.6875473,12.5790556,osm,yes,osm+google,cafe,node,8300566278,Nordhavn Coffee Room,,yes,ChIJ436eVBBTUkYR1AbKWL_kOHU,Nordhavn Coffee Room,"Sølvgades Kaserne, Georg Brandes Pl. 2, 1307 København",True,PRICE_LEVEL_INEXPENSIVE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""1""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}}",4,126,https://maps.google.com/?cid=8446752611612886740&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,5.1,1.0
Nordvest Ølbar,"Sporemagervej 2, 2400 København",55.7065226,12.5339291,osm,yes,google,bar,node,4819022400,Nordvest Ølbar,,,ChIJzb46JEhSUkYR9y-MhYmZLOI,Nordvest Ølbar,"Sporemagervej 2, 2400 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}}",4.5,305,https://maps.google.com/?cid=16297569967477108727&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.8,1.0
Norm,"Amagerbrogade 202, 2300 København",55.6499787,12.6124431,osm,yes,google,cafe,node,1369086109,Norm,,,ChIJXb4mIQCtU0YRzIxS1JCVph4,Norm,"Amagerbrogade 202, 2300 København",True,,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""300""}}",4.7,49,https://maps.google.com/?cid=2208617116541816012&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,0.8,1.0
Norrlyst,"Kompagnistræde 8, 1208 København",55.6775891,12.5762576,osm,yes,osm+google,restaurant,node,6967636485,Norrlyst,,yes,ChIJKZN-gpVTUkYRZIA81TOgWQ0,Norrlyst,"Kompagnistræde 8, 1208 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""800""}}",4.5,936,https://maps.google.com/?cid=961976139901599844&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,5.4,1.0
Norte Argentino,"Toftegårds Allé 14, 2500 København",55.6655528,12.5167471,osm,yes,google,cafe,node,13018538694,Norte Argentino,,,ChIJy4jmU-BTUkYRGo3bBAuwYTE,Norte Argentino,"Toftegårds Allé 14, 2500 København",True,,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""1""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""500""}}",4.8,85,https://maps.google.com/?cid=3558318741972028698&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.1,1.0
North Coffee Café,"Strandparksvej 17, 2900 Hellerup",55.7321702,12.5792657,osm,yes,google,cafe,node,12849732078,HIK Havn North Coffee,,,ChIJtdPUAX5SUkYRtQ59rn1oXqI,North Coffee Café,"Strandparksvej 17, 2900 Hellerup",True,,,4.1,18,https://maps.google.com/?cid=11699903770962759349&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.9,0.649
Nozomi,"Martha Christensens Vej 26, 2300 København",55.6377829,12.5821087,osm,yes,google,restaurant,node,11293437286,Nozomi,,,ChIJ4xtJNM9VUkYRy-hOTd47d-I,Nozomi,"Martha Christensens Vej 26, 2300 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""300""}}",4.4,288,https://maps.google.com/?cid=16318577600766077131&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.0,1.0
Nr.30 RESTAURANT,"Nansensgade 30, 1366 København",55.6818869,12.563396,osm,yes,google,restaurant,node,4886302862,Nr.30,,,ChIJwx8gswhTUkYR5EfyAr9voys,Nr.30 RESTAURANT,"Nansensgade 30, 1366 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""400""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""800""}}",4.6,235,https://maps.google.com/?cid=3144479831013607396&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,1.4,0.476
Nyhavn 14,"Nyhavn 14, 1051 København",55.6796707,12.5899481,osm,yes,google,restaurant,node,10904862337,Gorms Nyhavn 14,,,ChIJ0VX9NT1TUkYRvUE2n_HQqk8,Nyhavn 14,"Nyhavn 14, 1051 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""300""}}",4.1,834,https://maps.google.com/?cid=5740630411213947325&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,8.9,0.75
Nyhavn 17,"Nyhavn 17, 1051 København",55.6805239,12.5891305,osm,yes,osm+google,restaurant,node,894199789,Nyhavn 17,,yes,ChIJFwEkND1TUkYRURGCok-ACIY,Nyhavn 17,"Nyhavn 17, 1051 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""300""}}",3.7,1770,https://maps.google.com/?cid=9658110480413233489&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,4.0,1.0
Nyhavn 17,"Nyhavn 17, 1051 København",55.6806771,12.5884595,osm,yes,google,bar,node,11844868464,Nyhavn 7,,,ChIJFwEkND1TUkYRURGCok-ACIY,Nyhavn 17,"Nyhavn 17, 1051 København",True,PRICE_LEVEL_MODERATE,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""100""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""300""}}",3.7,1770,https://maps.google.com/?cid=9658110480413233489&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,47.8,0.941
Nyhavn 37,"Nyhavn 37, 1051 København",55.6800695,12.5907903,osm,yes,google,restaurant,node,1599832431,Nyhavns Hereford House,,,ChIJCcJ-yyJTUkYRgM0M3s718tY,Nyhavn 37,"Nyhavn 37, 1051 København",True,,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""300""}}",3.5,626,https://maps.google.com/?cid=15488712337318006144&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,14.8,0.452
Nyhavn 37,"Nyhavn 37, 1051 København",55.680137,12.590546,osm,yes,osm+google,restaurant,node,1630002862,Nyhavn 37,,yes,ChIJCcJ-yyJTUkYRgM0M3s718tY,Nyhavn 37,"Nyhavn 37, 1051 København",True,,"{""startPrice"": {""currencyCode"": ""DKK"", ""units"": ""200""}, ""endPrice"": {""currencyCode"": ""DKK"", ""units"": ""300""}}",3.5,626,https://maps.google.com/?cid=15488712337318006144&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,3.1,1.0
